$results_tau
   type  tau    FWER     power
1   GNZ 0.00 0.01100 0.2653333
2   GNZ 0.05 0.01000 0.2573333
3   GNZ 0.10 0.00700 0.2660000
4   GNZ 0.15 0.01300 0.2816667
5   GNZ 0.20 0.00500 0.2656667
6   GNZ 0.25 0.00800 0.2600000
7   GNZ 0.30 0.01100 0.2816667
8   GNZ 0.35 0.01300 0.2953333
9   GNZ 0.40 0.01400 0.2936667
10  GNZ 0.45 0.01200 0.3086667
11  GNZ 0.50 0.01700 0.3113333
12  GNZ 0.55 0.01100 0.3433333
13  GNZ 0.60 0.02300 0.3566667
14  GNZ 0.65 0.01400 0.3743333
15  GNZ 0.70 0.01400 0.3830000
16  GNZ 0.75 0.02200 0.3796667
17  GNZ 0.80 0.01300 0.4106667
18  GNZ 0.85 0.01400 0.4153333
19  GNZ 0.90 0.01625 0.4120833
20  GNZ 0.95     NaN       NaN
21   MC 0.00 0.01100 0.2666667
22   MC 0.05 0.01200 0.2583333
23   MC 0.10 0.00800 0.2703333
24   MC 0.15 0.01300 0.2900000
25   MC 0.20 0.00600 0.2740000
26   MC 0.25 0.00900 0.2640000
27   MC 0.30 0.01000 0.2850000
28   MC 0.35 0.01000 0.2990000
29   MC 0.40 0.01200 0.2990000
30   MC 0.45 0.00900 0.3123333
31   MC 0.50 0.01700 0.3086667
32   MC 0.55 0.01100 0.3363333
33   MC 0.60 0.01900 0.3406667
34   MC 0.65 0.01100 0.3540000
35   MC 0.70 0.01300 0.3583333
36   MC 0.75 0.01400 0.3440000
37   MC 0.80 0.01100 0.3603333
38   MC 0.85 0.00900 0.3680000
39   MC 0.90 0.01250 0.3500000
40   MC 0.95     NaN       NaN
41  phi 0.00 0.01300 0.2880000
42  phi 0.05 0.01400 0.2860000
43  phi 0.10 0.01100 0.3026667
44  phi 0.15 0.01600 0.3186667
45  phi 0.20 0.00800 0.3216667
46  phi 0.25 0.01200 0.3090000
47  phi 0.30 0.01800 0.3316667
48  phi 0.35 0.01800 0.3520000
49  phi 0.40 0.02200 0.3583333
50  phi 0.45 0.01800 0.3760000
51  phi 0.50 0.02000 0.3840000
52  phi 0.55 0.02000 0.4173333
53  phi 0.60 0.03000 0.4223333
54  phi 0.65 0.02200 0.4306667
55  phi 0.70 0.02400 0.4343333
56  phi 0.75 0.02600 0.4313333
57  phi 0.80 0.01800 0.4693333
58  phi 0.85 0.01800 0.4576667
59  phi 0.90 0.02000 0.4816667
60  phi 0.95     NaN       NaN
61 Bonf 0.00 0.01100 0.2653333
62 Bonf 0.05 0.01000 0.2546667
63 Bonf 0.10 0.00700 0.2596667
64 Bonf 0.15 0.01300 0.2733333
65 Bonf 0.20 0.00500 0.2543333
66 Bonf 0.25 0.00800 0.2436667
67 Bonf 0.30 0.00900 0.2586667
68 Bonf 0.35 0.00900 0.2613333
69 Bonf 0.40 0.00800 0.2556667
70 Bonf 0.45 0.00800 0.2673333
71 Bonf 0.50 0.01200 0.2546667
72 Bonf 0.55 0.00600 0.2703333
73 Bonf 0.60 0.01000 0.2753333
74 Bonf 0.65 0.00600 0.2723333
75 Bonf 0.70 0.00500 0.2763333
76 Bonf 0.75 0.00600 0.2550000
77 Bonf 0.80 0.00400 0.2483333
78 Bonf 0.85 0.00400 0.2660000
79 Bonf 0.90 0.00625 0.2433333
80 Bonf 0.95     NaN       NaN

$results_B
   type    B  FWER     power
1   GNZ   10 0.007 0.2646667
2   GNZ   20 0.009 0.2733333
3   GNZ   30 0.008 0.2566667
4   GNZ   40 0.010 0.2716667
5   GNZ   50 0.004 0.2813333
6   GNZ   60 0.013 0.2693333
7   GNZ   70 0.011 0.2883333
8   GNZ   80 0.010 0.3166667
9   GNZ   90 0.015 0.3196667
10  GNZ  100 0.013 0.3193333
11  GNZ  200 0.021 0.3426667
12  GNZ  300 0.017 0.3700000
13  GNZ  400 0.026 0.3756667
14  GNZ  500 0.015 0.3820000
15  GNZ  600 0.013 0.3710000
16  GNZ  700 0.016 0.3566667
17  GNZ  800 0.012 0.3710000
18  GNZ  900 0.012 0.3673333
19  GNZ 1000 0.020 0.3740000
20   MC   10 0.007 0.2646667
21   MC   20 0.009 0.2733333
22   MC   30 0.008 0.2566667
23   MC   40 0.010 0.2703333
24   MC   50 0.003 0.2736667
25   MC   60 0.010 0.2626667
26   MC   70 0.009 0.2786667
27   MC   80 0.011 0.3056667
28   MC   90 0.013 0.3090000
29   MC  100 0.008 0.3190000
30   MC  200 0.021 0.3460000
31   MC  300 0.018 0.3740000
32   MC  400 0.026 0.3776667
33   MC  500 0.014 0.3810000
34   MC  600 0.014 0.3713333
35   MC  700 0.017 0.3556667
36   MC  800 0.012 0.3680000
37   MC  900 0.012 0.3656667
38   MC 1000 0.019 0.3743333
39  phi   10 0.017 0.3806667
40  phi   20 0.024 0.3983333
41  phi   30 0.018 0.3793333
42  phi   40 0.017 0.3786667
43  phi   50 0.012 0.3903333
44  phi   60 0.019 0.3696667
45  phi   70 0.022 0.3746667
46  phi   80 0.018 0.3870000
47  phi   90 0.022 0.3806667
48  phi  100 0.019 0.3886667
49  phi  200 0.020 0.3840000
50  phi  300 0.020 0.4033333
51  phi  400 0.027 0.3953333
52  phi  500 0.016 0.3956667
53  phi  600 0.018 0.3853333
54  phi  700 0.018 0.3710000
55  phi  800 0.013 0.3776667
56  phi  900 0.013 0.3786667
57  phi 1000 0.021 0.3873333
58 Bonf   10 0.007 0.2646667
59 Bonf   20 0.009 0.2733333
60 Bonf   30 0.008 0.2566667
61 Bonf   40 0.010 0.2700000
62 Bonf   50 0.003 0.2603333
63 Bonf   60 0.009 0.2420000
64 Bonf   70 0.006 0.2530000
65 Bonf   80 0.007 0.2640000
66 Bonf   90 0.009 0.2606667
67 Bonf  100 0.008 0.2673333
68 Bonf  200 0.012 0.2546667
69 Bonf  300 0.006 0.2726667
70 Bonf  400 0.011 0.2753333
71 Bonf  500 0.008 0.2726667
72 Bonf  600 0.007 0.2693333
73 Bonf  700 0.007 0.2583333
74 Bonf  800 0.007 0.2553333
75 Bonf  900 0.008 0.2516667
76 Bonf 1000 0.005 0.2600000

$results_n
   type    n  FWER      power
1   GNZ   10 0.013 0.03400000
2   GNZ   20 0.015 0.06333333
3   GNZ   30 0.013 0.07833333
4   GNZ   40 0.011 0.11300000
5   GNZ   50 0.005 0.14000000
6   GNZ   60 0.015 0.16233333
7   GNZ   70 0.013 0.20733333
8   GNZ   80 0.013 0.25566667
9   GNZ   90 0.013 0.28433333
