$results_tau
   type  tau        mean           sd
1   GNZ 0.00 0.008333333 4.082796e-17
2   GNZ 0.05 0.008556165 1.321630e-03
3   GNZ 0.10 0.008745840 1.787332e-03
4   GNZ 0.15 0.009099509 2.421309e-03
5   GNZ 0.20 0.009373692 2.897740e-03
6   GNZ 0.25 0.009991640 3.617408e-03
7   GNZ 0.30 0.010531787 4.093268e-03
8   GNZ 0.35 0.011219754 4.740991e-03
9   GNZ 0.40 0.012084621 5.402100e-03
10  GNZ 0.45 0.013053034 5.778991e-03
11  GNZ 0.50 0.014139546 6.510709e-03
12  GNZ 0.55 0.015634319 6.962204e-03
13  GNZ 0.60 0.017469118 7.409809e-03
14  GNZ 0.65 0.019588358 7.809666e-03
15  GNZ 0.70 0.021688252 8.059653e-03
16  GNZ 0.75 0.024267749 7.548069e-03
17  GNZ 0.80 0.026902987 7.027002e-03
18  GNZ 0.85 0.029766808 6.270914e-03
19  GNZ 0.90          NA           NA
20  GNZ 0.95          NA           NA
21   MC 0.00 0.008395411 9.148158e-05
22   MC 0.05 0.008705753 8.523914e-04
23   MC 0.10 0.009068984 1.269205e-03
24   MC 0.15 0.009511447 1.622679e-03
25   MC 0.20 0.009813818 1.861248e-03
26   MC 0.25 0.010360886 2.150557e-03
27   MC 0.30 0.010828461 2.360825e-03
28   MC 0.35 0.011350732 2.611244e-03
29   MC 0.40 0.011892250 2.918351e-03
30   MC 0.45 0.012492790 2.995469e-03
31   MC 0.50 0.013202748 3.346254e-03
32   MC 0.55 0.013932886 3.354199e-03
33   MC 0.60 0.014931615 3.567148e-03
34   MC 0.65 0.015994212 3.764714e-03
35   MC 0.70 0.016962381 3.840835e-03
36   MC 0.75 0.018202304 3.678295e-03
37   MC 0.80 0.019418768 3.461243e-03
38   MC 0.85 0.020742051 3.057230e-03
39   MC 0.90          NA           NA
40   MC 0.95          NA           NA
41  phi 0.00 0.010010769 0.000000e+00
42  phi 0.05 0.010779556 0.000000e+00
43  phi 0.10 0.011614913 0.000000e+00
44  phi 0.15 0.012523201 0.000000e+00
45  phi 0.20 0.013511440 0.000000e+00
46  phi 0.25 0.014587381 0.000000e+00
47  phi 0.30 0.015759587 0.000000e+00
48  phi 0.35 0.017037521 0.000000e+00
49  phi 0.40 0.018431648 0.000000e+00
50  phi 0.45 0.019953542 0.000000e+00
51  phi 0.50 0.021616018 0.000000e+00
52  phi 0.55 0.023433258 0.000000e+00
53  phi 0.60 0.025420974 0.000000e+00
54  phi 0.65 0.027596568 0.000000e+00
55  phi 0.70 0.029979326 0.000000e+00
56  phi 0.75 0.032590620 0.000000e+00
57  phi 0.80 0.035454139 0.000000e+00
58  phi 0.85 0.038596137 0.000000e+00
59  phi 0.90          NA           NA
60  phi 0.95          NA           NA
61 Bonf 0.00 0.008333333 0.000000e+00
62 Bonf 0.05 0.008333333 0.000000e+00
63 Bonf 0.10 0.008333333 0.000000e+00
64 Bonf 0.15 0.008333333 0.000000e+00
65 Bonf 0.20 0.008333333 0.000000e+00
66 Bonf 0.25 0.008333333 0.000000e+00
67 Bonf 0.30 0.008333333 0.000000e+00
68 Bonf 0.35 0.008333333 0.000000e+00
69 Bonf 0.40 0.008333333 0.000000e+00
70 Bonf 0.45 0.008333333 0.000000e+00
71 Bonf 0.50 0.008333333 0.000000e+00
72 Bonf 0.55 0.008333333 0.000000e+00
73 Bonf 0.60 0.008333333 0.000000e+00
74 Bonf 0.65 0.008333333 0.000000e+00
75 Bonf 0.70 0.008333333 0.000000e+00
76 Bonf 0.75 0.008333333 0.000000e+00
77 Bonf 0.80 0.008333333 0.000000e+00
78 Bonf 0.85 0.008333333 0.000000e+00
79 Bonf 0.90          NA           NA
80 Bonf 0.95          NA           NA

$results_B
   type    B        mean           sd
1   GNZ   10 0.008333333 0.000000e+00
2   GNZ   20 0.008333333 0.000000e+00
3   GNZ   30 0.008333333 0.000000e+00
4   GNZ   40 0.008544373 3.827505e-04
5   GNZ   50 0.010123175 3.190230e-03
6   GNZ   60 0.011486310 5.160221e-03
7   GNZ   70 0.012423184 6.007588e-03
8   GNZ   80 0.013415454 6.659340e-03
9   GNZ   90 0.014220080 6.592422e-03
10  GNZ  100 0.014287681 6.379545e-03
11  GNZ  200 0.016604901 5.162385e-03
12  GNZ  300 0.018232000 4.585760e-03
13  GNZ  400 0.018869255 3.673644e-03
14  GNZ  500 0.019217663 3.410456e-03
15  GNZ  600 0.019520604 2.864268e-03
16  GNZ  700 0.019756953 2.750648e-03
17  GNZ  800 0.019995357 2.440922e-03
18  GNZ  900 0.020027826 2.376124e-03
19  GNZ 1000 0.020057957 2.121734e-03
20   MC   10 0.008333333 0.000000e+00
21   MC   20 0.008333333 0.000000e+00
22   MC   30 0.008333333 0.000000e+00
23   MC   40 0.008431730 7.982885e-05
24   MC   50 0.009201236 6.989189e-04
25   MC   60 0.009833017 1.129772e-03
26   MC   70 0.010673416 1.674193e-03
27   MC   80 0.011539661 2.186705e-03
28   MC   90 0.012568073 2.778061e-03
29   MC  100 0.013179160 3.188269e-03
30   MC  200 0.017002103 3.612705e-03
31   MC  300 0.018472147 3.352238e-03
32   MC  400 0.019039318 2.913406e-03
33   MC  500 0.019257686 2.756333e-03
34   MC  600 0.019507244 2.434855e-03
35   MC  700 0.019777426 2.334366e-03
36   MC  800 0.019912842 2.187514e-03
37   MC  900 0.019961666 2.167587e-03
38   MC 1000 0.019985362 1.933703e-03
39  phi   10 0.021616018 0.000000e+00
40  phi   20 0.021616018 0.000000e+00
41  phi   30 0.021616018 0.000000e+00
42  phi   40 0.021616018 0.000000e+00
43  phi   50 0.021616018 0.000000e+00
44  phi   60 0.021616018 0.000000e+00
45  phi   70 0.021616018 0.000000e+00
46  phi   80 0.021616018 0.000000e+00
47  phi   90 0.021616018 0.000000e+00
48  phi  100 0.021616018 0.000000e+00
