$results_rho
   type  rho  FWER     power
1   GNZ 0.00 0.033 0.2493333
2   GNZ 0.05 0.027 0.2606667
3   GNZ 0.10 0.024 0.2560000
4   GNZ 0.15 0.029 0.2766667
5   GNZ 0.20 0.032 0.2580000
6   GNZ 0.25 0.015 0.2550000
7   GNZ 0.30 0.028 0.2616667
8   GNZ 0.35 0.026 0.2606667
9   GNZ 0.40 0.029 0.2843333
10  GNZ 0.45 0.025 0.2606667
11  GNZ 0.50 0.026 0.2686667
12  GNZ 0.55 0.023 0.2600000
13  GNZ 0.60 0.026 0.2543333
14  GNZ 0.65 0.021 0.2663333
15  GNZ 0.70 0.020 0.2596667
16  GNZ 0.75 0.024 0.2573333
17  GNZ 0.80 0.020 0.2680000
18  GNZ 0.85 0.018 0.2910000
19  GNZ 0.90 0.025 0.3046667
20  GNZ 0.95 0.024 0.3260000
21   MC 0.00 0.033 0.2503333
22   MC 0.05 0.027 0.2606667
23   MC 0.10 0.025 0.2563333
24   MC 0.15 0.029 0.2766667
25   MC 0.20 0.032 0.2603333
26   MC 0.25 0.015 0.2570000
27   MC 0.30 0.028 0.2636667
28   MC 0.35 0.028 0.2656667
29   MC 0.40 0.030 0.2896667
30   MC 0.45 0.025 0.2646667
31   MC 0.50 0.028 0.2750000
32   MC 0.55 0.024 0.2643333
33   MC 0.60 0.029 0.2616667
34   MC 0.65 0.023 0.2800000
35   MC 0.70 0.023 0.2733333
36   MC 0.75 0.027 0.2776667
37   MC 0.80 0.021 0.2813333
38   MC 0.85 0.018 0.3043333
39   MC 0.90 0.025 0.3070000
40   MC 0.95 0.024 0.3183333
41 Bonf 0.00 0.033 0.2493333
42 Bonf 0.05 0.027 0.2606667
43 Bonf 0.10 0.024 0.2560000
44 Bonf 0.15 0.029 0.2766667
45 Bonf 0.20 0.032 0.2580000
46 Bonf 0.25 0.015 0.2550000
47 Bonf 0.30 0.028 0.2613333
48 Bonf 0.35 0.026 0.2606667
49 Bonf 0.40 0.029 0.2843333
50 Bonf 0.45 0.025 0.2606667
51 Bonf 0.50 0.025 0.2686667
52 Bonf 0.55 0.022 0.2593333
53 Bonf 0.60 0.026 0.2523333
54 Bonf 0.65 0.021 0.2633333
55 Bonf 0.70 0.020 0.2556667
56 Bonf 0.75 0.022 0.2530000
57 Bonf 0.80 0.017 0.2560000
58 Bonf 0.85 0.015 0.2666667
59 Bonf 0.90 0.019 0.2656667
60 Bonf 0.95 0.014 0.2620000

$results_B
   type    B       FWER     power
1   GNZ   10 0.02765487 0.2474189
2   GNZ   20 0.01905717 0.2574390
3   GNZ   30 0.02200000 0.2740000
4   GNZ   40 0.02300000 0.2773333
5   GNZ   50 0.02500000 0.2476667
6   GNZ   60 0.01300000 0.2573333
7   GNZ   70 0.02500000 0.2600000
8   GNZ   80 0.02500000 0.2640000
9   GNZ   90 0.02400000 0.2863333
10  GNZ  100 0.02400000 0.2586667
11  GNZ  200 0.02600000 0.2686667
12  GNZ  300 0.02200000 0.2580000
13  GNZ  400 0.03000000 0.2543333
14  GNZ  500 0.01900000 0.2650000
15  GNZ  600 0.02100000 0.2586667
16  GNZ  700 0.02900000 0.2526667
17  GNZ  800 0.02100000 0.2553333
18  GNZ  900 0.01800000 0.2670000
